passenger_id,age,age_band,gender
P1372,16,13-18,M
P1373,14,13-18,F
P1374,76,76+,M
P1375,87,76+,F
P1376,15,13-18,F
P1377,66,61-75,M
P1378,32,31-45,M
P1379,87,76+,M
P1380,63,61-75,M
P1381,86,76+,F
P1382,51,46-60,F
P1383,25,19-30,M
P1384,58,46-60,F
P1385,63,61-75,F
P1386,62,61-75,F
P1387,22,19-30,F
P1388,58,46-60,M
P1389,58,46-60,M
P1390,86,76+,F
P1391,49,46-60,M
P1392,52,46-60,M
P1393,42,31-45,M
P1394,70,61-75,F
P1395,15,13-18,F
P1396,54,46-60,F
P1397,60,46-60,M
P1398,8,0-12,F
P1399,53,46-60,F
P1400,60,46-60,M
P1401,5,0-12,F
P1402,68,61-75,F
P1403,6,0-12,M
P1404,47,46-60,M
P1405,55,46-60,M
P1406,40,31-45,F
P1407,52,46-60,F
P1408,16,13-18,F
P1409,13,13-18,M
P1410,30,19-30,M
P1411,19,19-30,F
P1412,17,13-18,F
P1413,63,61-75,M
P1414,19,19-30,M
P1415,58,46-60,M
P1416,55,46-60,M
P1417,62,61-75,F
P1418,23,19-30,M
P1419,9,0-12,F
P1420,12,0-12,F
P1421,1,0-12,F
P1422,58,46-60,M
P1423,1,0-12,M
P1424,34,31-45,M
P1425,48,46-60,M
P1426,89,76+,F
P1427,1,0-12,M
P1428,16,13-18,M
P1429,61,61-75,F
P1430,64,61-75,M
P1431,63,61-75,F
P1432,69,61-75,F
P1433,22,19-30,F
P1434,67,61-75,F
P1435,76,76+,F
P1436,26,19-30,F
P1437,16,13-18,F
P1438,51,46-60,F
P1439,86,76+,M
P1440,57,46-60,M
P1441,29,19-30,M
P1442,78,76+,M
P1443,69,61-75,F
P1444,47,46-60,M
P1445,62,61-75,F
P1446,69,61-75,M
P1447,76,76+,M
P1448,16,13-18,M
P1449,48,46-60,F
P1450,85,76+,M
P1451,39,31-45,F
P1452,33,31-45,F
P1453,23,19-30,M
P1454,10,0-12,M
P1455,69,61-75,M
P1456,34,31-45,F
P1457,52,46-60,M
P1458,10,0-12,F
P1459,19,19-30,F
P1460,58,46-60,M
P1461,1,0-12,M
P1462,69,61-75,F
P1463,4,0-12,F
P1464,16,13-18,F
P1465,24,19-30,M
P1466,80,76+,F
P1467,2,0-12,M
P1468,32,31-45,F
P1469,84,76+,F
P1470,24,19-30,M
P1471,12,0-12,F
P1472,50,46-60,M
P1473,35,31-45,M
P1474,33,31-45,F
P1475,33,31-45,M
P1476,61,61-75,M
P1477,51,46-60,F
P1478,43,31-45,M
P1479,12,0-12,M
P1480,67,61-75,M
P1481,65,61-75,F
P1482,33,31-45,M
P1483,40,31-45,F
P1484,74,61-75,F
P1485,43,31-45,M
P1486,44,31-45,M
P1487,29,19-30,M
P1488,13,13-18,F
P1489,12,0-12,M
P1490,46,46-60,M
P1491,2,0-12,M
P1492,35,31-45,M
P1493,87,76+,M
P1494,81,76+,F
P1495,8,0-12,F
P1496,26,19-30,M
P1497,74,61-75,M
P1498,34,31-45,M
P1499,7,0-12,M
P1500,68,61-75,F
P1501,58,46-60,M
P1502,75,61-75,F
P1503,29,19-30,F
P1504,36,31-45,M
P1505,89,76+,F
P1506,21,19-30,F
P1507,36,31-45,F
P1508,10,0-12,F
P1509,73,61-75,M
P1510,24,19-30,M
P1511,64,61-75,F
P1512,49,46-60,M
P1513,36,31-45,M
P1514,82,76+,M
P1515,24,19-30,M
P1516,23,19-30,M
P1517,62,61-75,F
P1518,37,31-45,M
P1519,12,0-12,M
P1520,55,46-60,M
P1521,13,13-18,M
P1522,23,19-30,F
P1523,89,76+,F
P1524,30,19-30,F
P1525,17,13-18,F
P1526,62,61-75,M
P1527,84,76+,F
P1528,89,76+,M
P1529,86,76+,M
P1530,13,13-18,M
P1531,59,46-60,M
P1532,19,19-30,M
P1533,49,46-60,F
P1534,12,0-12,F
P1535,61,61-75,F
P1536,19,19-30,F
P1537,76,76+,M
P1538,9,0-12,F
P1539,71,61-75,M
P1540,28,19-30,F
P1541,78,76+,M
P1542,52,46-60,M
P1543,83,76+,F
P1544,16,13-18,M
P1545,69,61-75,M
P1546,12,0-12,F
P1547,25,19-30,M
P1548,52,46-60,F
P1549,85,76+,F
P1550,53,46-60,F
P1551,23,19-30,M
P1552,16,13-18,M
P1553,57,46-60,M
P1554,39,31-45,F
P1555,53,46-60,M
P1556,42,31-45,F
P1557,58,46-60,F
P1558,39,31-45,M
P1559,14,13-18,F
P1560,5,0-12,M
P1561,35,31-45,M
P1562,87,76+,M
P1563,75,61-75,M
P1564,18,13-18,M
P1565,76,76+,F
P1566,9,0-12,F
P1567,74,61-75,F
P1568,58,46-60,M
P1569,17,13-18,M
P1570,7,0-12,M
P1571,46,46-60,F
P1572,13,13-18,M
P1573,40,31-45,F
P1574,42,31-45,F
P1575,9,0-12,M
P1576,50,46-60,M
P1577,27,19-30,F
P1578,66,61-75,M
P1579,5,0-12,F
P1580,29,19-30,M
P1581,37,31-45,M
P1582,38,31-45,F
P1583,83,76+,M
P1584,8,0-12,F
P1585,65,61-75,M
P1586,86,76+,F
P1587,17,13-18,F
P1588,71,61-75,M
P1589,89,76+,F
P1590,45,31-45,M
P1591,4,0-12,M
P1592,36,31-45,M
P1593,70,61-75,F
P1594,31,31-45,F
P1595,19,19-30,M
P1596,61,61-75,M
P1597,54,46-60,F
P1598,39,31-45,M
P1599,74,61-75,M
P1600,19,19-30,F
P1601,39,31-45,M
P1602,67,61-75,F
P1603,45,31-45,M
P1604,13,13-18,F
P1605,58,46-60,M
P1606,20,19-30,M
P1607,72,61-75,F
P1608,61,61-75,M
P1609,39,31-45,F
P1610,1,0-12,M
P1611,3,0-12,F
P1612,77,76+,F
P1613,62,61-75,F
P1614,63,61-75,F
P1615,25,19-30,M
P1616,56,46-60,M
P1617,33,31-45,F
P1618,38,31-45,F
P1619,6,0-12,F
P1620,58,46-60,M
P1621,44,31-45,M
P1622,45,31-45,M
P1623,32,31-45,M
P1624,45,31-45,F
P1625,61,61-75,F
P1626,47,46-60,F
P1627,21,19-30,M
P1628,80,76+,M
P1629,85,76+,M
P1630,75,61-75,F
P1631,36,31-45,F
P1632,19,19-30,M
P1633,20,19-30,F
P1634,57,46-60,M
P1635,18,13-18,M
P1636,47,46-60,F
P1637,49,46-60,M
P1638,14,13-18,F
P1639,15,13-18,M
P1640,31,31-45,F
P1641,1,0-12,F
P1642,54,46-60,F
P1643,3,0-12,M
P1644,16,13-18,M
P1645,87,76+,F
P1646,57,46-60,F
P1647,75,61-75,M
P1648,12,0-12,M
P1649,74,61-75,M
P1650,16,13-18,F
P1651,72,61-75,M
P1652,76,76+,M
P1653,24,19-30,F
P1654,28,19-30,M
P1655,8,0-12,M
P1656,36,31-45,M
P1657,8,0-12,F
P1658,58,46-60,F
P1659,60,46-60,F
P1660,50,46-60,F
P1661,28,19-30,F
P1662,41,31-45,F
P1663,64,61-75,F
P1664,27,19-30,M
P1665,63,61-75,M
P1666,17,13-18,F
P1667,73,61-75,M
P1668,33,31-45,M
P1669,84,76+,F
P1670,77,76+,M
P1671,29,19-30,M
P1672,13,13-18,M
P1673,46,46-60,M
P1674,35,31-45,M
P1675,6,0-12,F
P1676,82,76+,F
P1677,69,61-75,F
P1678,47,46-60,M
P1679,25,19-30,F
P1680,66,61-75,M
P1681,10,0-12,M
P1682,56,46-60,M
P1683,30,19-30,M
P1684,5,0-12,F
P1685,33,31-45,F
P1686,65,61-75,M
P1687,18,13-18,F
P1688,49,46-60,M
P1689,11,0-12,F
P1690,85,76+,F
P1691,26,19-30,M
P1692,63,61-75,F
P1693,89,76+,M
P1694,86,76+,F
P1695,59,46-60,M
P1696,27,19-30,M
P1697,49,46-60,F
P1698,77,76+,F
P1699,33,31-45,M
P1700,1,0-12,F
P1701,21,19-30,F
P1702,55,46-60,M
P1703,6,0-12,M
P1704,81,76+,F
P1705,69,61-75,M
P1706,5,0-12,M
P1707,3,0-12,M
P1708,53,46-60,F
P1709,23,19-30,F
P1710,53,46-60,M
P1711,37,31-45,F
P1712,74,61-75,M
P1713,74,61-75,F
P1714,83,76+,M
P1715,17,13-18,M
P1716,85,76+,F
P1717,78,76+,M
P1718,73,61-75,F
P1719,1,0-12,F
P1720,51,46-60,M
P1721,45,31-45,M
P1722,77,76+,F
P1723,4,0-12,M
P1724,62,61-75,M
P1725,65,61-75,M
P1726,32,31-45,M
P1727,34,31-45,M
P1728,72,61-75,F
P1729,39,31-45,F
P1730,26,19-30,M
P1731,34,31-45,M
P1732,54,46-60,M
P1733,3,0-12,F
P1734,50,46-60,M
P1735,12,0-12,F
P1736,65,61-75,F
P1737,54,46-60,F
P1738,5,0-12,M
P1739,57,46-60,F
P1740,17,13-18,M
P1741,47,46-60,F
P1742,23,19-30,M
P1743,79,76+,F
P1744,85,76+,M
P1745,14,13-18,F
P1746,66,61-75,M
P1747,75,61-75,M
P1748,51,46-60,M
P1749,38,31-45,M
P1750,64,61-75,F
P1751,38,31-45,F
P1752,50,46-60,M
P1753,82,76+,F
P1754,30,19-30,M
P1755,79,76+,M
P1756,51,46-60,F
P1757,63,61-75,M
P1758,52,46-60,M
P1759,38,31-45,F
P1760,88,76+,M
P1761,79,76+,M
P1762,30,19-30,M
P1763,51,46-60,M
P1764,81,76+,F
P1765,5,0-12,F
P1766,29,19-30,F
P1767,4,0-12,M
P1768,10,0-12,M
P1769,56,46-60,F
P1770,17,13-18,M
P1771,74,61-75,M
P1772,17,13-18,M
P1773,84,76+,M
P1774,88,76+,F
P1775,69,61-75,F
P1776,34,31-45,F
P1777,6,0-12,M
P1778,53,46-60,F
P1779,66,61-75,F
P1780,77,76+,M
P1781,43,31-45,M
P1782,75,61-75,F
P1783,23,19-30,F
P1784,55,46-60,F
P1785,80,76+,F
P1786,75,61-75,M
P1787,16,13-18,F
P1788,8,0-12,F
P1789,4,0-12,M
P1790,4,0-12,F
P1791,56,46-60,M
P1792,25,19-30,M
P1793,67,61-75,M
P1794,67,61-75,F
P1795,27,19-30,F
P1796,32,31-45,M
P1797,50,46-60,F
P1798,61,61-75,F
P1799,51,46-60,M
P1800,19,19-30,M
P1801,21,19-30,F
P1802,5,0-12,M
P1803,82,76+,F
P1804,42,31-45,F
P1805,61,61-75,F
P1806,22,19-30,F
P1807,21,19-30,M
P1808,70,61-75,M
P1809,1,0-12,M
P1810,5,0-12,M
P1811,12,0-12,F
P1812,46,46-60,F
P1813,34,31-45,M
P1814,49,46-60,F
P1815,78,76+,F
P1816,45,31-45,F
P1817,27,19-30,M
P1818,73,61-75,M
P1819,26,19-30,M
P1820,47,46-60,F
P1821,86,76+,M
P1822,56,46-60,M
P1823,63,61-75,M
P1824,48,46-60,M
P1825,61,61-75,M
P1826,81,76+,M
P1827,26,19-30,F
P1828,36,31-45,F
P1829,1,0-12,M
P1830,8,0-12,M
P1831,52,46-60,F
P1832,79,76+,F
P1833,47,46-60,M
P1834,56,46-60,M
P1835,86,76+,M
P1836,14,13-18,M
P1837,28,19-30,F
P1838,87,76+,M
P1839,78,76+,M
P1840,88,76+,M
P1841,2,0-12,M
P1842,26,19-30,F
P1843,14,13-18,F
P1844,59,46-60,F
P1845,56,46-60,M
P1846,7,0-12,M
P1847,3,0-12,F
P1848,23,19-30,M
P1849,18,13-18,M
P1850,38,31-45,F
P1851,15,13-18,F
P1852,64,61-75,F
P1853,89,76+,F
P1854,28,19-30,M
P1855,74,61-75,M
P1856,39,31-45,F
P1857,57,46-60,M
P1858,17,13-18,F
P1859,86,76+,F
P1860,44,31-45,M
P1861,25,19-30,F
P1862,17,13-18,M
P1863,13,13-18,M
P1864,84,76+,M
P1865,25,19-30,M
P1866,68,61-75,F
P1867,10,0-12,M
P1868,67,61-75,F
P1869,18,13-18,F
P1870,86,76+,F
P1871,34,31-45,F
P1872,8,0-12,M
P1873,40,31-45,M
P1874,83,76+,F
P1875,42,31-45,F
P1876,41,31-45,M
P1877,6,0-12,F
P1878,52,46-60,M
P1879,26,19-30,F
P1880,64,61-75,M
P1881,59,46-60,F
P1882,56,46-60,F
P1883,59,46-60,M
P1884,70,61-75,F
P1885,33,31-45,F
P1886,53,46-60,M
P1887,22,19-30,F
P1888,21,19-30,M
P1889,70,61-75,M
P1890,70,61-75,F
P1891,4,0-12,F
P1892,75,61-75,F
P1893,62,61-75,F
P1894,62,61-75,F
P1895,24,19-30,F
P1896,55,46-60,F
P1897,9,0-12,M
P1898,3,0-12,F
P1899,31,31-45,M
P1900,40,31-45,F
P1901,36,31-45,F
P1902,24,19-30,M
P1903,6,0-12,F
P1904,66,61-75,F
P1905,84,76+,M
P1906,75,61-75,F
P1907,4,0-12,F
P1908,79,76+,F
P1909,6,0-12,M
P1910,51,46-60,F
P1911,62,61-75,F
P1912,57,46-60,F
P1913,66,61-75,F
P1914,79,76+,M
P1915,75,61-75,M
P1916,8,0-12,F
P1917,26,19-30,F
P1918,51,46-60,M
P1919,45,31-45,M
P1920,44,31-45,F
P1921,5,0-12,M
P1922,70,61-75,F
P1923,26,19-30,M
P1924,68,61-75,M
P1925,19,19-30,M
P1926,84,76+,M
P1927,20,19-30,F
P1928,12,0-12,M
P1929,47,46-60,M
P1930,1,0-12,F
P1931,14,13-18,M
P1932,64,61-75,M
P1933,38,31-45,F
P1934,37,31-45,M
P1935,11,0-12,F
P1936,77,76+,F
P1937,3,0-12,F
P1938,33,31-45,F
P1939,6,0-12,M
P1940,50,46-60,F
P1941,10,0-12,M
P1942,5,0-12,M
P1943,23,19-30,M
P1944,10,0-12,M
P1945,44,31-45,M
P1946,2,0-12,M
P1947,13,13-18,M
P1948,40,31-45,M
P1949,2,0-12,M
P1950,84,76+,M
P1951,65,61-75,F
P1952,63,61-75,F
P1953,73,61-75,F
P1954,17,13-18,M
P1955,9,0-12,F
P1956,75,61-75,F
P1957,15,13-18,F
P1958,24,19-30,M
P1959,38,31-45,M
P1960,35,31-45,M
P1961,49,46-60,M
P1962,69,61-75,F
P1963,62,61-75,F
P1964,60,46-60,F
P1965,50,46-60,F
P1966,78,76+,M
P1967,75,61-75,M
P1968,9,0-12,M
P1969,34,31-45,F
P1970,76,76+,M
P1971,35,31-45,M
P1972,1,0-12,F
P1973,40,31-45,F
P1974,64,61-75,M
P1975,22,19-30,M
P1976,60,46-60,M
P1977,64,61-75,M
P1978,72,61-75,M
P1979,11,0-12,M
P1980,14,13-18,F
P1981,60,46-60,F
P1982,30,19-30,F
P1983,35,31-45,M
P1984,85,76+,F
P1985,37,31-45,M
P1986,5,0-12,M
P1987,83,76+,F
P1988,78,76+,M
P1989,26,19-30,M
P1990,62,61-75,F
P1991,4,0-12,F
P1992,89,76+,F
P1993,42,31-45,M
P1994,89,76+,F
P1995,18,13-18,F
P1996,40,31-45,M
P1997,72,61-75,F
P1998,39,31-45,F
P1999,14,13-18,F
