booking_id,passenger_id,flight_id,date_key,status,seat_number
B1095,P1215,6F194,20250730,CONFIRMED,14B
B1096,P1981,UK068,20260103,PENDING,12B
B1097,P1959,6F017,20250826,UNKNOWN,34F
B1098,P1491,6F245,20251015,UNKNOWN,13D
B1099,P1812,6F254,20251207,CONFIRMED,26E
B1100,P1921,UK077,20260305,CONFIRMED,16D
B1101,P1844,AI029,20250719,CONFIRMED,3D
B1102,P1448,SJ196,20251006,UNKNOWN,15F
B1103,P1535,AI242,20250808,CANCELLED,20D
B1104,P1510,AI242,20250912,CANCELLED,16E
B1105,P1457,SJ044,20250911,CONFIRMED,19F
B1106,P1546,UK063,20250901,CONFIRMED,21F
B1107,P1535,AI056,20250519,CONFIRMED,30F
B1108,P1539,UK207,20251011,CANCELLED,14B
B1109,P1483,UK166,20251203,CANCELLED,33D
B1110,P1975,6F261,20251217,PENDING,12B
B1111,P1999,UK134,20251225,CANCELLED,34A
B1112,P1015,6F152,20251002,PENDING,27A
B1113,P1570,SJ089,20251123,CONFIRMED,5A
B1114,P1976,6F123,20250926,CANCELLED,2E
B1115,P1242,AI025,20250823,CONFIRMED,10A
B1116,P1949,6F030,20251205,CONFIRMED,19B
B1117,P1206,SJ222,20250902,CONFIRMED,28F
B1118,P1911,UK109,20260403,CONFIRMED,34B
B1119,P1270,SJ117,20251125,CANCELLED,21F
B1120,P1760,SJ142,20250812,CONFIRMED,12D
B1121,P1993,SJ142,20250601,PENDING,17C
B1122,P1778,AI030,20250502,CANCELLED,20B
B1123,P1704,6F097,20250923,CONFIRMED,8A
B1124,P1846,6F129,20250523,CANCELLED,5C
B1125,P1729,6F181,20260115,PENDING,27E
B1126,P1114,AI072,20251020,CONFIRMED,10E
B1127,P1579,SJ154,20250629,PENDING,2E
B1128,P1298,AI031,20260408,CONFIRMED,10D
B1129,P1836,AI031,20250918,PENDING,26F
B1130,P1482,6F158,20251226,CONFIRMED,34E
B1131,P1396,6F184,20250616,CANCELLED,1C
B1132,P1393,UK141,20250620,CONFIRMED,10D
B1133,P1074,6F168,20251229,CANCELLED,23D
B1134,P1977,6F051,20250728,CONFIRMED,34C
B1135,P1481,6F047,20251202,CONFIRMED,20E
B1136,P1102,UK156,20251026,PENDING,28E
B1137,P1296,AI094,20250901,PENDING,13E
B1138,P1177,AI038,20250714,PENDING,6C
B1139,P1214,6F255,20260119,CONFIRMED,29F
B1140,P1966,SJ025,20260123,CONFIRMED,29D
B1141,P1314,SJ185,20251028,CONFIRMED,9C
B1142,P1038,6F259,20260121,CANCELLED,5C
B1143,P1258,6F073,20260407,CANCELLED,15A
B1144,P1715,AI091,20250926,CONFIRMED,6D
B1145,P1006,6F191,20250823,PENDING,15D
B1146,P1048,UK228,20250830,PENDING,25A
B1147,P1537,6F146,20260325,PENDING,11E
B1148,P1160,6F068,20251013,CONFIRMED,19A
B1149,P1868,SJ218,20260108,PENDING,30F
B1150,P1175,UK083,20250925,CONFIRMED,12A
B1151,P1590,SJ007,20260118,CANCELLED,29B
B1152,P1001,AI077,20250814,PENDING,27A
B1153,P1894,UK017,20251220,CANCELLED,8D
B1154,P1454,6F229,20260217,PENDING,24A
B1155,P1927,6F074,20251008,CONFIRMED,6D
B1156,P1643,SJ088,20260325,CONFIRMED,5E
B1157,P1275,SJ167,20250628,CONFIRMED,18B
B1158,P1497,6F234,20250720,CONFIRMED,22A
B1159,P1628,UK071,20251210,PENDING,22F
B1160,P1675,AI178,20251121,CANCELLED,29A
B1161,P1799,UK104,20251114,CONFIRMED,12A
B1162,P1027,AI146,20250422,UNKNOWN,32D
B1163,P1332,SJ235,20251110,CANCELLED,13D
B1164,P1000,6F209,20250424,CONFIRMED,24A
B1165,P1187,AI129,20250820,CANCELLED,2F
B1166,P1055,SJ141,20260123,CONFIRMED,34D
B1167,P1546,SJ018,20260202,CANCELLED,9F
B1168,P1111,UK120,20251014,CANCELLED,11C
B1169,P1797,AI078,20251115,CONFIRMED,11E
B1170,P1309,AI079,20250914,PENDING,15E
B1171,P1035,UK087,20250919,CANCELLED,21A
B1172,P1438,UK133,20260117,CONFIRMED,8F
B1173,P1728,AI222,20250601,CANCELLED,22E
B1174,P1591,6F049,20260412,CANCELLED,19D
B1175,P1825,6F105,20260129,PENDING,27D
B1176,P1594,SJ226,20250417,CANCELLED,7C
B1177,P1576,SJ227,20250729,CANCELLED,34D
B1178,P1324,6F034,20260205,CONFIRMED,34E
B1179,P1639,SJ078,20251003,CONFIRMED,33D
B1180,P1306,AI240,20260410,PENDING,22F
B1181,P1533,SJ002,20260329,CANCELLED,12E
B1182,P1727,AI044,20250811,CANCELLED,3A
B1183,P1618,UK076,20250622,CANCELLED,8C
B1184,P1108,6F232,20250801,PENDING,28E
B1185,P1371,SJ228,20250816,CANCELLED,25E
B1186,P1356,SJ074,20260404,CONFIRMED,1B
B1187,P1180,UK229,20250804,PENDING,7F
B1188,P1355,AI208,20260404,CONFIRMED,6A
B1189,P1675,AI019,20251123,CONFIRMED,14F
B1190,P1067,6F029,20250523,PENDING,12B
B1191,P1291,6F018,20250427,CONFIRMED,25B
B1192,P1691,AI059,20250623,CANCELLED,7D
B1193,P1180,AI159,20250522,PENDING,13D
B1194,P1465,6F091,20250711,CONFIRMED,14F
B1195,P1433,6F084,20250720,CANCELLED,10B
B1196,P1463,UK170,20260115,CANCELLED,20C
B1197,P1680,UK212,20250519,CONFIRMED,2E
B1198,P1913,SJ022,20250616,UNKNOWN,29A
B1199,P1533,SJ075,20251213,PENDING,30E
B1200,P1065,UK177,20250917,CONFIRMED,16B
B1201,P1020,UK206,20260201,CANCELLED,3A
B1202,P1611,UK079,20250429,CANCELLED,29C
B1203,P1383,UK040,20250621,CONFIRMED,3B
B1204,P1811,AI034,20250725,CONFIRMED,30A
B1205,P1614,UK034,20251018,CONFIRMED,23F
B1206,P1558,AI088,20250702,CONFIRMED,13A
B1207,P1038,AI128,20250611,PENDING,26A
B1208,P1284,SJ052,20250722,UNKNOWN,9A
B1209,P1821,AI233,20251215,PENDING,3A
B1210,P1601,AI012,20260120,PENDING,3C
B1211,P1596,AI084,20250707,CONFIRMED,34A
B1212,P1784,6F126,20250708,PENDING,34B
B1213,P1335,SJ061,20250616,CONFIRMED,2E
B1214,P1187,UK194,20250814,UNKNOWN,23B
B1215,P1670,AI135,20250808,CANCELLED,28C
B1216,P1242,6F238,20251209,CONFIRMED,10A
B1217,P1072,6F092,20260319,CANCELLED,32C
B1218,P1478,AI213,20251113,PENDING,2D
B1219,P1973,UK193,20260215,CANCELLED,1B
B1220,P1560,6F178,20260404,PENDING,29C
B1221,P1100,AI158,20260306,CONFIRMED,19D
B1222,P1513,UK208,20260330,PENDING,8A
B1223,P1755,6F056,20260409,UNKNOWN,15A
B1224,P1175,UK185,20251026,CONFIRMED,1E
B1225,P1237,AI163,20260113,PENDING,4D
B1226,P1909,AI112,20250823,CONFIRMED,15C
B1227,P1058,AI227,20251023,CANCELLED,12A
B1228,P1864,SJ083,20260417,CONFIRMED,29D
B1229,P1098,UK073,20260207,CONFIRMED,13F
B1230,P1953,6F169,20250429,PENDING,6C
B1231,P1870,UK154,20260406,CANCELLED,27D
B1232,P1953,SJ169,20251006,CONFIRMED,32F
B1233,P1494,6F187,20250513,CANCELLED,5F
B1234,P1946,UK210,20251121,CANCELLED,33A
B1235,P1979,6F250,20251223,PENDING,13D
B1236,P1513,AI062,20250705,CONFIRMED,25A
B1237,P1754,AI047,20251116,UNKNOWN,15B
B1238,P1296,SJ186,20251020,UNKNOWN,8E
B1239,P1210,AI217,20251117,CANCELLED,30A
B1240,P1122,UK100,20251231,CONFIRMED,17A
B1241,P1228,UK116,20251216,CONFIRMED,10A
B1242,P1593,6F036,20251201,CANCELLED,26C
B1243,P1655,AI175,20260122,CANCELLED,29E
B1244,P1387,UK051,20250818,CONFIRMED,27D
B1245,P1139,6F201,20260417,UNKNOWN,26A
B1246,P1540,6F230,20260409,CONFIRMED,33B
B1247,P1390,SJ138,20250813,CANCELLED,15F
B1248,P1269,AI246,20260304,PENDING,16B
B1249,P1758,6F179,20250606,CANCELLED,26B
B1250,P1011,6F031,20260128,CANCELLED,16F
B1251,P1866,UK015,20250830,PENDING,29A
B1252,P1388,UK001,20250421,CANCELLED,27C
B1253,P1336,6F133,20260227,CANCELLED,15E
B1254,P1505,6F143,20250722,CANCELLED,5D
B1255,P1105,UK165,20250922,CANCELLED,23F
B1256,P1031,6F083,20250810,CANCELLED,22B
B1257,P1073,AI082,20250819,CANCELLED,11C
B1258,P1170,AI164,20251028,CANCELLED,21F
B1259,P1848,SJ155,20260119,CANCELLED,31F
B1260,P1068,AI189,20260104,CANCELLED,1D
B1261,P1812,SJ057,20251221,CONFIRMED,34A
B1262,P1361,SJ198,20250507,CONFIRMED,16F
B1263,P1648,6F122,20260103,CANCELLED,6C
B1264,P1432,SJ097,20260415,CONFIRMED,12A
B1265,P1928,UK203,20250806,PENDING,28F
B1266,P1995,UK093,20260116,CONFIRMED,27F
B1267,P1099,AI205,20250521,CANCELLED,32A
B1268,P1657,AI102,20260116,UNKNOWN,12A
B1269,P1008,6F046,20250906,CONFIRMED,4C
B1270,P1573,SJ017,20250602,UNKNOWN,22E
B1271,P1696,6F156,20251020,PENDING,28B
B1272,P1028,AI068,20250718,PENDING,19A
B1273,P1892,AI150,20250605,UNKNOWN,28B
B1274,P1113,UK008,20251015,PENDING,20D
B1275,P1461,6F166,20250711,PENDING,18F
B1276,P1920,6F177,20250715,CONFIRMED,1A
B1277,P1142,AI196,20260119,PENDING,12E
B1278,P1389,SJ191,20250809,CONFIRMED,5B
B1279,P1631,6F019,20250510,UNKNOWN,28C
B1280,P1681,AI226,20260412,CONFIRMED,33B
B1281,P1156,SJ207,20260121,CANCELLED,4A
B1282,P1334,AI009,20251230,CANCELLED,8B
B1283,P1860,AI103,20250508,UNKNOWN,29D
B1284,P1259,SJ127,20260222,CANCELLED,25F
B1285,P1081,UK188,20260326,CANCELLED,25B
B1286,P1753,6F010,20250925,UNKNOWN,33B
B1287,P1440,SJ098,20251213,CANCELLED,5F
B1288,P1944,6F058,20251211,PENDING,18C
B1289,P1171,SJ030,20260323,PENDING,24F
B1290,P1230,UK175,20250726,CANCELLED,16F
B1291,P1719,SJ108,20260401,PENDING,28E
B1292,P1074,6F075,20250803,CONFIRMED,7C
B1293,P1269,UK222,20250831,CONFIRMED,25F
B1294,P1898,6F250,20250713,CANCELLED,34B
B1295,P1625,AI096,20251229,CANCELLED,14B
B1296,P1061,AI216,20251223,CANCELLED,1B
B1297,P1873,6F193,20260123,PENDING,8A
B1298,P1319,SJ194,20260102,PENDING,6C
B1299,P1101,SJ020,20250911,CONFIRMED,16F
B1300,P1428,6F070,20250614,PENDING,21C
B1301,P1873,AI051,20250903,CONFIRMED,12A
B1302,P1721,UK219,20251227,PENDING,3D
B1303,P1953,AI235,20251213,CONFIRMED,20A
B1304,P1254,6F022,20251213,UNKNOWN,18E
B1305,P1531,SJ114,20250928,PENDING,13C
B1306,P1569,SJ076,20251201,CONFIRMED,30A
B1307,P1111,UK227,20260126,PENDING,32E
B1308,P1984,UK135,20250722,CANCELLED,30D
B1309,P1312,AI234,20250506,CONFIRMED,30F
B1310,P1997,6F113,20250820,PENDING,5D
B1311,P1460,SJ206,20251116,PENDING,9D
B1312,P1707,AI015,20260329,UNKNOWN,6E
B1313,P1886,6F260,20250516,CANCELLED,33E
B1314,P1461,AI061,20250428,CONFIRMED,19C
B1315,P1864,6F237,20260326,PENDING,9C
B1316,P1091,SJ099,20260106,PENDING,27C
B1317,P1051,SJ146,20260224,CANCELLED,21F
B1318,P1804,SJ146,20250523,CANCELLED,29B
B1319,P1519,6F071,20250504,CONFIRMED,4C
B1320,P1811,6F272,20250813,PENDING,6C
B1321,P1097,SJ029,20260212,PENDING,13A
B1322,P1235,UK084,20250727,CONFIRMED,6E
B1323,P1900,SJ048,20260206,CONFIRMED,14D
B1324,P1373,AI108,20260204,CANCELLED,33B
B1325,P1580,SJ134,20250811,CANCELLED,3B
B1326,P1926,UK146,20251031,CONFIRMED,14F
B1327,P1556,SJ036,20250924,CONFIRMED,26C
B1328,P1648,6F202,20251101,PENDING,33B
B1329,P1233,UK041,20260213,CONFIRMED,22C
B1330,P1031,6F078,20251206,CONFIRMED,23A
B1331,P1288,AI097,20250703,PENDING,22C
B1332,P1637,UK159,20260115,CONFIRMED,7D
B1333,P1578,UK044,20250906,CANCELLED,12B
B1334,P1541,6F176,20250927,CANCELLED,6F
B1335,P1113,SJ221,20260211,PENDING,4A
B1336,P1203,6F112,20250703,CONFIRMED,22A
B1337,P1028,6F246,20251020,UNKNOWN,4C
B1338,P1642,6F014,20260221,CANCELLED,14C
B1339,P1473,AI237,20250917,CANCELLED,28A
B1340,P1696,6F003,20251214,CANCELLED,12E
B1341,P1252,6F249,20250704,CONFIRMED,5A
B1342,P1797,UK149,20250429,CONFIRMED,4A
B1343,P1904,SJ163,20260308,CONFIRMED,9F
B1344,P1921,SJ243,20260328,CONFIRMED,1D
B1345,P1385,UK113,20250606,CANCELLED,1A
B1346,P1061,AI071,20250607,PENDING,30E
B1347,P1514,6F271,20260207,PENDING,22A
B1348,P1429,SJ015,20250605,CANCELLED,27E
B1349,P1579,UK047,20251119,CANCELLED,9E
B1350,P1536,UK020,20260204,PENDING,12A
B1351,P1690,AI122,20250903,PENDING,27F
B1352,P1140,UK223,20251020,CANCELLED,17D
B1353,P1742,6F148,20250919,CANCELLED,15F
B1354,P1299,SJ162,20251214,CONFIRMED,34A
B1355,P1674,6F127,20260330,CONFIRMED,28B
B1356,P1310,AI173,20251110,PENDING,11F
B1357,P1470,6F065,20260205,UNKNOWN,14A
B1358,P1392,AI053,20250622,PENDING,20A
B1359,P1641,AI241,20251022,CONFIRMED,14E
B1360,P1444,AI105,20250615,UNKNOWN,18D
B1361,P1757,AI110,20250824,PENDING,13F
B1362,P1808,AI252,20251022,CONFIRMED,15B
B1363,P1171,AI149,20251214,CANCELLED,3B
B1364,P1575,AI224,20250909,PENDING,23F
B1365,P1030,UK158,20250703,CANCELLED,15B
B1366,P1046,6F125,20250505,CANCELLED,25E
B1367,P1129,UK164,20251214,CONFIRMED,18A
B1368,P1351,UK007,20251226,CANCELLED,1E
B1369,P1977,6F118,20260318,PENDING,15F
B1370,P1844,SJ004,20260101,CANCELLED,19C
B1371,P1621,6F206,20250925,CANCELLED,15E
B1372,P1580,SJ130,20250511,CANCELLED,11D
B1373,P1057,SJ070,20260214,CANCELLED,22F
B1374,P1105,AI085,20250424,CANCELLED,7F
B1375,P1811,SJ109,20250902,CONFIRMED,15B
B1376,P1329,AI168,20250824,PENDING,16B
B1377,P1767,UK123,20251024,CONFIRMED,26A
B1378,P1823,UK110,20260116,PENDING,30D
B1379,P1682,AI206,20251102,PENDING,31C
B1380,P1382,6F007,20260416,PENDING,6B
B1381,P1984,SJ013,20251111,PENDING,33A
B1382,P1161,UK061,20250919,PENDING,20D
B1383,P1996,AI010,20250924,CANCELLED,8C
B1384,P1285,AI024,20250516,CONFIRMED,11D
B1385,P1070,UK130,20250608,CONFIRMED,30B
B1386,P1766,AI161,20260312,CANCELLED,10A
B1387,P1453,SJ208,20250723,PENDING,24F
B1388,P1885,6F038,20250923,UNKNOWN,8D
B1389,P1566,6F085,20260222,UNKNOWN,30D
B1390,P1834,SJ028,20260309,CANCELLED,8C
B1391,P1396,SJ084,20251126,CONFIRMED,21F
B1392,P1514,AI139,20260327,CONFIRMED,21D
B1393,P1025,UK179,20260406,PENDING,26E
B1394,P1312,6F256,20250723,PENDING,23F
B1395,P1125,UK023,20260210,UNKNOWN,23B
B1396,P1407,AI039,20250803,UNKNOWN,13E
B1397,P1564,UK190,20260205,CANCELLED,28D
B1398,P1197,6F224,20260204,PENDING,3E
B1399,P1810,UK221,20250531,PENDING,7A
B1400,P1187,SJ107,20260402,CANCELLED,12F
B1401,P1697,UK155,20250420,UNKNOWN,21D
B1402,P1816,UK183,20260321,CANCELLED,7E
B1403,P1809,SJ203,20250508,PENDING,26A
B1404,P1715,6F253,20260307,UNKNOWN,16A
B1405,P1483,AI100,20250826,PENDING,32F
B1406,P1449,6F140,20250624,CONFIRMED,15D
B1407,P1522,UK048,20250826,CONFIRMED,25A
B1408,P1870,SJ204,20250729,CONFIRMED,12F
B1409,P1353,UK105,20260324,CONFIRMED,28C
B1410,P1985,AI098,20260413,CONFIRMED,32C
B1411,P1657,6F013,20251012,CANCELLED,1A
B1412,P1596,6F128,20251118,CANCELLED,28E
B1413,P1099,SJ038,20251005,UNKNOWN,14A
B1414,P1615,SJ182,20260107,CONFIRMED,25F
B1415,P1947,6F199,20260322,PENDING,23B
B1416,P1557,SJ187,20250817,CANCELLED,20B
B1417,P1555,AI182,20250818,PENDING,8E
B1418,P1277,SJ027,20250504,PENDING,19D
B1419,P1692,SJ062,20260120,CONFIRMED,20E
B1420,P1698,SJ161,20260224,CONFIRMED,27B
B1421,P1989,UK058,20251003,UNKNOWN,23C
B1422,P1625,AI181,20260104,CANCELLED,12D
B1423,P1490,AI003,20250612,CONFIRMED,14A
B1424,P1254,6F150,20251105,CANCELLED,11D
B1425,P1380,SJ175,20250628,CANCELLED,34E
B1426,P1891,6F041,20251215,CANCELLED,17C
B1427,P1541,SJ040,20260415,CANCELLED,16E
B1428,P1263,6F020,20250617,CONFIRMED,27C
B1429,P1609,AI248,20250508,CANCELLED,27B
B1430,P1824,SJ016,20260208,CONFIRMED,11A
B1431,P1878,UK204,20251121,CONFIRMED,31C
B1432,P1328,6F211,20250902,CANCELLED,9B
B1433,P1114,SJ166,20250507,CONFIRMED,5B
B1434,P1275,AI036,20251019,PENDING,30C
B1435,P1487,SJ215,20250918,CONFIRMED,1E
B1436,P1280,AI076,20260105,CONFIRMED,20B
B1437,P1274,SJ012,20251128,CANCELLED,24A
B1438,P1772,AI073,20260401,UNKNOWN,20D
B1439,P1842,SJ173,20251109,CONFIRMED,27E
B1440,P1718,AI193,20260309,CANCELLED,25E
B1441,P1895,SJ131,20250922,UNKNOWN,13A
B1442,P1327,AI225,20250602,PENDING,11E
B1443,P1210,AI190,20251009,CANCELLED,9E
B1444,P1726,SJ238,20251225,CONFIRMED,7B
B1445,P1922,6F005,20251221,PENDING,5F
B1446,P1551,UK136,20250925,PENDING,23C
B1447,P1991,SJ063,20250521,CONFIRMED,15F
B1448,P1025,6F175,20251121,CANCELLED,9E
B1449,P1026,AI037,20250523,PENDING,19A
B1450,P1701,UK225,20251111,CONFIRMED,21C
B1451,P1082,AI141,20250520,CONFIRMED,15E
B1452,P1895,6F172,20260126,PENDING,3E
B1453,P1945,6F219,20260207,CANCELLED,16F
B1454,P1681,AI045,20250816,PENDING,8E
B1455,P1412,AI198,20260412,CONFIRMED,30A
B1456,P1166,AI120,20250424,PENDING,17F
B1457,P1699,6F134,20250611,CANCELLED,32D
B1458,P1168,UK102,20251119,CONFIRMED,10B
B1459,P1800,SJ199,20250610,CANCELLED,1F
B1460,P1978,6F235,20251001,PENDING,32E
B1461,P1228,UK065,20251014,PENDING,33F
B1462,P1978,6F135,20251203,CANCELLED,26D
B1463,P1608,SJ148,20260210,PENDING,31C
B1464,P1366,AI083,20260307,CANCELLED,6B
B1465,P1527,UK024,20250702,PENDING,5C
B1466,P1790,UK220,20250427,CANCELLED,28B
B1467,P1646,UK115,20250430,CANCELLED,25A
B1468,P1537,AI255,20250716,CONFIRMED,14F
B1469,P1863,6F001,20251225,CONFIRMED,11A
B1470,P1523,6F132,20250527,CANCELLED,24E
B1471,P1071,UK184,20260328,PENDING,8E
B1472,P1644,6F098,20250606,PENDING,3D
B1473,P1105,SJ168,20250719,PENDING,21F
B1474,P1731,SJ178,20250728,CANCELLED,14C
B1475,P1884,UK111,20260307,CANCELLED,2C
B1476,P1964,SJ051,20260227,CANCELLED,32E
B1477,P1688,SJ193,20250706,CANCELLED,18E
B1478,P1281,SJ039,20260224,CONFIRMED,28D
B1479,P1132,UK066,20251217,CANCELLED,22B
B1480,P1533,SJ050,20260314,PENDING,34B
B1481,P1974,6F052,20250611,CONFIRMED,4D
B1482,P1268,SJ170,20250829,PENDING,14E
B1483,P1411,SJ119,20250609,UNKNOWN,26B
B1484,P1672,AI219,20250507,CONFIRMED,13B
B1485,P1618,6F220,20250705,CANCELLED,12D
B1486,P1790,AI207,20250504,CONFIRMED,3D
B1487,P1864,6F024,20260126,PENDING,5E
B1488,P1746,SJ073,20250504,CANCELLED,27E
B1489,P1017,SJ201,20250708,CANCELLED,24F
B1490,P1753,AI180,20260310,CONFIRMED,29B
B1491,P1116,UK022,20250716,CONFIRMED,18F
B1492,P1797,AI202,20260327,CANCELLED,29C
B1493,P1793,6F212,20250601,CONFIRMED,26D
B1494,P1143,6F163,20250609,CANCELLED,23F
B1495,P1716,UK028,20251015,CONFIRMED,27D
B1496,P1550,6F243,20260321,PENDING,7D
B1497,P1928,AI165,20250902,CONFIRMED,11F
B1498,P1665,UK099,20250718,PENDING,3D
B1499,P1687,AI033,20250617,UNKNOWN,17C
B1500,P1960,UK056,20250430,CONFIRMED,22D
B1501,P1752,SJ122,20250904,CANCELLED,23D
B1502,P1421,AI086,20251015,CONFIRMED,23F
B1503,P1897,SJ011,20251017,CONFIRMED,25C
B1504,P1368,SJ021,20250421,PENDING,4E
B1505,P1645,SJ106,20251129,CONFIRMED,8F
B1506,P1557,SJ026,20260129,CANCELLED,9E
B1507,P1049,SJ245,20251127,PENDING,20A
B1508,P1677,AI023,20250731,UNKNOWN,9C
B1509,P1105,AI032,20250925,CANCELLED,14F
B1510,P1215,AI236,20250511,CANCELLED,19F
B1511,P1657,6F094,20251224,CANCELLED,15C
B1512,P1922,UK163,20251221,PENDING,4A
B1513,P1424,UK163,20250630,CONFIRMED,32B
B1514,P1071,SJ045,20250507,CANCELLED,21E
B1515,P1987,SJ006,20250706,PENDING,26A
B1516,P1841,SJ103,20250805,CANCELLED,34F
B1517,P1784,6F221,20260116,UNKNOWN,31B
B1518,P1758,SJ147,20260320,UNKNOWN,30A
B1519,P1445,SJ064,20260325,PENDING,3C
B1520,P1924,AI028,20260402,CONFIRMED,27A
B1521,P1185,AI148,20251108,PENDING,31E
B1522,P1069,6F263,20250831,CONFIRMED,1C
B1523,P1973,SJ067,20250519,PENDING,21F
B1524,P1149,6F061,20250617,PENDING,23D
B1525,P1245,AI254,20250529,UNKNOWN,11E
B1526,P1773,SJ136,20251115,CONFIRMED,17D
B1527,P1537,AI046,20250709,PENDING,8A
B1528,P1934,UK174,20260328,PENDING,6E
B1529,P1651,6F066,20250430,UNKNOWN,34C
B1530,P1098,UK095,20251208,UNKNOWN,23E
B1531,P1909,6F063,20260401,PENDING,30F
B1532,P1277,UK118,20250422,PENDING,30A
